bcg_id,bcg_ra,bcg_dec,bcg_sdss_pa
2_19233,357.7107,6.1496,100.8248
2_1435,173.0495,56.04783,18.3365
2_14948,336.5331,17.35652,47.4429
1_12282,10.96739,24.40594,98.1105
1_14534,353.5229,22.98334,93.3776
2_8768,10.11781,29.55599,113.5684
1_12336,12.45764,24.45055,136.3736
1_23993,27.11495,-4.1297,49.6001
2_3729,122.597,42.27385,130.2978
1_1607,170.3602,53.74909,169.7398
1_1277,135.3756,55.65459,62.8984
1_1172,119.9954,53.93859,9.0405
2_11151,11.60317,20.62172,149.0208
1_6202,168.4509,40.28574,12.5944
1_14573,354.0114,20.54587,108.7546
2_11146,10.47933,21.37707,127.9269
1_14426,346.4341,19.56983,37.7227
2_13186,354.4556,20.80947,75.014
1_4456,170.0526,47.19234,151.8868
2_19468,14.13569,-1.771971,81.5284
